,RMSE,MAE,R-Squared
Linear Regression,0.1209966190561529,0.09896964311129963,-0.01187622755641482
Random Forest,0.12104252489571879,0.09886762639836998,-0.012644180245205972
XGBoost,0.12060990336001778,0.09859866461281429,-0.00541847534889861
Gradient Boosting,0.12056419741744727,0.09856962941797685,-0.004656599406719142
Decision Tree,0.12182934715721964,0.09919295207176236,-0.025852110950340457
KNN,0.12477446932501558,0.10180107377365778,-0.07604983544719301
XGBoost (Optuna),0.12106821349338184,0.09897281290389433,-0.013074048497372592
